Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR
200215,14:00,Lecce,Spal,2,1,H,1,0,H,8,13,4,5,13,23,4,8,5,3,0
200215,17:00,Bologna,Genoa,0,3,A,0,2,A,11,5,6,5,19,13,4,4,3,5,2
200215,19:45,Atalanta,Roma,2,1,H,0,1,A,11,5,7,1,11,15,5,2,1,5,0
200216,11:30,Udinese,Verona,0,0,D,0,0,D,10,9,6,6,13,17,9,6,1,2,0
200216,14:00,Juventus,Brescia,2,0,H,1,0,H,20,5,11,2,12,8,16,2,3,2,0
200216,14:00,Sampdoria,Fiorentina,1,5,A,0,3,A,13,12,8,9,13,13,7,3,5,4,1
200216,14:00,Sassuolo,Parma,0,1,A,0,1,A,10,6,5,6,14,19,5,3,5,4,0
200216,17:00,Cagliari,Napoli,0,1,A,0,0,D,10,12,4,4,14,11,2,3,3,1,0
200216,19:45,Lazio,Inter,2,1,H,0,1,A,11,9,6,6,13,15,6,6,5,2,0
200217,19:45,Milan,Torino,1,0,H,1,0,H,9,6,3,1,16,11,9,5,3,3,0
200221,19:45,Brescia,Napoli,1,2,A,1,0,H,8,7,1,5,16,14,4,4,3,3,0
200222,14:00,Bologna,Udinese,1,1,D,0,1,A,12,4,3,3,13,12,7,5,1,2,0
200222,17:00,Spal,Juventus,1,2,A,0,1,A,10,17,5,9,25,15,3,4,4,2,0
200222,19:45,Fiorentina,Milan,1,1,D,0,0,D,11,5,7,3,11,15,4,3,1,3,1
200223,11:30,Genoa,Lazio,2,3,A,0,1,A,11,11,9,8,12,13,6,1,2,2,0
200223,17:00,Roma,Lecce,4,0,H,2,0,H,19,9,11,4,9,6,6,4,1,0,0
200229,14:00,Lazio,Bologna,2,0,H,2,0,H,12,11,5,4,9,12,7,5,1,4,0
200229,19:45,Napoli,Torino,2,1,H,1,0,H,16,5,10,3,12,13,7,1,1,3,0
200301,14:00,Lecce,Atalanta,2,7,A,2,2,D,5,17,3,11,9,12,2,11,2,2,0
200301,17:00,Cagliari,Roma,3,4,A,1,2,A,7,18,7,14,14,13,2,7,4,5,0
200308,11:30,Parma,Spal,0,1,A,0,0,D,11,6,2,2,19,22,4,5,2,2,0
200308,14:00,Milan,Genoa,1,2,A,0,2,A,13,6,4,3,14,12,7,5,0,0,0
200308,14:00,Sampdoria,Verona,2,1,H,0,1,A,8,3,7,2,14,23,2,6,4,3,0
200308,17:00,Udinese,Fiorentina,0,0,D,0,0,D,11,7,2,5,8,5,6,9,2,0,0
200308,19:45,Juventus,Inter,2,0,H,0,0,D,12,8,6,2,8,18,5,4,1,3,0
200309,17:30,Sassuolo,Brescia,3,0,H,1,0,H,13,6,10,4,15,9,5,4,3,3,0
200620,18:30,Torino,Parma,1,1,D,1,1,D,14,6,9,5,16,17,5,2,1,2,0
200620,20:45,Verona,Cagliari,2,1,H,2,1,H,8,13,6,4,4,19,1,7,1,6,1
200621,18:30,Atalanta,Sassuolo,4,1,H,3,0,H,12,10,5,6,24,6,4,3,4,3,0
200621,20:45,Inter,Sampdoria,2,1,H,2,0,H,11,7,5,3,17,21,5,1,3,3,0
200622,18:30,Fiorentina,Brescia,1,1,D,1,1,D,15,5,8,3,21,21,7,2,5,4,1
200622,18:30,Lecce,Milan,1,4,A,0,1,A,6,12,1,11,8,13,5,4,1,1,0
